,t,x,y,x0,y0,vx,vy,r,theta,angle,omega,alpha
316,10.54386667,0.46222591560000004,0.043012568150000006,0.48651345380000005,0.8463676186,-0.024287538200000014,-0.80335505045,0.8037221047074283,0.030223426790781563,1.7316747975344058,-0.21829356704534714,-0.6935047242610392
317,10.57723333,0.4687922818,0.04341877603,0.4865164832,0.8463742265,-0.017724201400000028,-0.80295545047,0.8031510460397524,0.022070120496052385,1.2645247577689764,-0.2443548828300187,-0.7810585711806699
318,10.6106,0.4753354852,0.04374875432,0.48651986810000003,0.8463858483,-0.011184382900000012,-0.8026370939799999,0.802715014842449,0.013933643450918845,0.7983389629777495,-0.24385043653243388,0.015118269146571035
319,10.64396667,0.4816620258,0.04468392478,0.4865209279,0.8464006471,-0.0048589021000000066,-0.8017167223199999,0.8017314461695645,0.00606054791553484,0.3472438170969549,-0.23595688558025496,0.23656993497340428
320,10.67733333,0.4885188987,0.0449749593,0.4865246964,0.8464081676999999,0.00199420229999997,-0.8014332084,0.8014356894780336,-0.002488289932757669,-0.14256851135190585,-0.2562089777128546,-0.6069559294397278
321,10.7107,0.4954457543,0.04587730143,0.48652448090000006,0.8464124443000001,0.00892127339999993,-0.80053514287,0.8005848512737228,-0.011143675815685363,-0.6384855925007764,-0.25940214839922077,-0.09569941160943549
322,10.74406667,0.5023284625,0.046790488420000005,0.48652057,0.8464204323000001,0.015807892499999976,-0.7996299438800001,0.7997861818103784,-0.01976643544896486,-1.132533327243465,-0.2584243388171241,0.02930497955284743
323,10.77743333,0.5081160610000001,0.047199446900000004,0.48652393299999996,0.8464094623999999,0.0215921280000001,-0.7992100154999999,0.7995016378138812,-0.027010268198912325,-1.5475743713141,-0.21709792799002822,1.2385540185052253
324,10.8108,0.5141859435,0.04792691732,0.48652127990000005,0.846405596,0.027664663599999972,-0.79847867868,0.7989577798098344,-0.034632862213151115,-1.9843168372716666,-0.22844934823398624,-0.3402023709275631
325,10.84416667,0.5199824853,0.0489104108,0.4865197874,0.8463976846,0.033462697900000005,-0.7974872738,0.7981890152236516,-0.04193556556714031,-2.402730918491278,-0.21886221651694054,0.28732659618253326
326,10.87753333,0.5247665124,0.04946061387,0.4865168182,0.8463959977,0.03824969420000007,-0.79693538383,0.7978527715729656,-0.04795917543655234,-2.747858341441937,-0.18052780438353602,1.1488837100687939
327,10.9109,0.5290292842000001,0.049800830989999996,0.4865218622,0.8463979774,0.04250742200000007,-0.79659714641,0.7977304648774804,-0.05331069215873212,-3.054477663616522,-0.1603851005263593,0.6036773779696037
328,10.94426667,0.533582754,0.05089228228,0.48651911740000003,0.8463855136,0.04706363659999996,-0.79549323132,0.7968842243174049,-0.05909395381594237,-3.3858341483945034,-0.17332450787598339,-0.3877943873219681
329,10.97763333,0.5362844357,0.05165762746,0.48652148219999997,0.8463887106999999,0.049762953499999985,-0.7947310832399999,0.7962875399055712,-0.06253444803175268,-3.582959946399606,-0.10311173536129371,2.1042793169795466
330,11.011,0.5386215297,0.05184153059,0.4865216166,0.8463942345000001,0.052099913100000006,-0.7945527039100001,0.7962590032368362,-0.0654776394302722,-3.751592391833981,-0.08820752560922519,0.4466795683257799
331,11.04436667,0.5406951889,0.051970219789999994,0.4865240746,0.8463901184999999,0.05417111429999999,-0.79441989871,0.7962647079275272,-0.06808412785264689,-3.900933177785763,-0.07811652833125379,0.3024274606357487
332,11.07773333,0.5411955232,0.05193218909,0.4865192668,0.8463823977,0.054676256399999956,-0.79445020861,0.7963294713712353,-0.06871440689442944,-3.937045506795453,-0.018889485545828453,1.7750366019681838
333,11.1111,0.5413395471,0.05189208039,0.4865166764,0.8463738815999999,0.05482287069999997,-0.7944818012099999,0.7963710690411064,-0.06889535162181637,-3.9474128759998695,-0.005422918360954927,0.4035933818050472
334,11.14446667,0.5409011489,0.05184237509,0.4865181289,0.8463612442,0.05438301999999995,-0.79451886911,0.7963778916043274,-0.06834114358149095,-3.9156590943170064,0.016609629918881104,0.6603160662971873
335,11.17783333,0.5400333188,0.05177208047,0.4865175118,0.8463581845,0.053515807000000026,-0.79458610403,0.7963862243386907,-0.0672489848958014,-3.853083011068441,0.032732035082010856,0.4831890624692295
336,11.2112,0.5380226736,0.05149789346,0.48651558780000004,0.8463573388,0.05150708579999996,-0.79485944534,0.7965265329754063,-0.06470977128722873,-3.7075967880150427,0.07610030034680464,1.2997480798891363
337,11.24456667,0.5355134965999999,0.051049795989999994,0.4865140401,0.8463602512,0.04899945649999993,-0.79531045521,0.7968184654635162,-0.061532699324312094,-3.5255639733305753,0.0952169324333738,0.5729259793251607
