,t,f,e,s
235,2.35,1208.0294744481598,0.00011271972700000001,66040904.713754036
245,2.45,1327.48850431512,0.00011271972700000001,72571525.51027498
248,2.48,1334.9546947938597,0.00011577148400000002,72979689.37085167
254,2.54,1421.5624945611598,0.000121875,77714389.61855295
256,2.56,1443.96106599738,0.000124926758,78938881.20028307
253,2.53,1411.1098314495,0.000127978516,77142960.40828684
242,2.42,1299.11698761306,0.000131030273,71020503.22916603
280,2.8,1693.3317977394001,0.000134082031,92571552.48994422
251,2.51,1402.1504002060801,0.00014018554699999998,76653163.62968886
249,2.49,1363.3262159441401,0.00014018554699999998,74530711.8951372
258,2.58,1488.75819997338,0.000143237305,81387863.87739013
252,2.52,1384.2315466156801,0.000143237305,75673570.55884603
259,2.59,1464.8663966689198,0.000146289062,80081739.86399189
257,2.57,1473.82582346412,0.00016154785200000001,80571536.3994133
261,2.61,1494.7311541356598,0.00016154785200000001,81714395.06312211
260,2.6,1473.82582346412,0.00016154785200000001,80571536.3994133
255,2.55,1430.5219213563598,0.000167651367,78204186.15397437
262,2.62,1496.22439045212,0.000170703125,81796027.73796682
288,2.88,1778.44635674202,0.000176806641,97224619.8196242
263,2.63,1517.12972112366,0.000176806641,82938886.40167564
264,2.64,1541.0215288763402,0.000179858398,84245010.65825048
274,2.74,1626.13608787896,0.000182910156,88898077.98793046
265,2.65,1532.0621020811402,0.00018596191399999998,83755214.12282906
271,2.71,1620.1631381649001,0.00018901367199999997,88571547.04537505
270,2.7,1599.25780749336,0.00019206543,87428688.38166621
266,2.66,1587.31190361702,0.00019206543,86775626.25337882
272,2.72,1618.6699018484398,0.000195117187,88489914.37053032
281,2.81,1702.2912245346,0.000195117187,93061349.0253656
268,2.68,1624.6428515625,0.000195117187,88816445.31308575
267,2.67,1606.7239979721,0.00020427246100000003,87836852.24224293
269,2.69,1639.5752325199799,0.000207324219,89632773.03423914
284,2.84,1784.41930645608,0.000210375977,97551150.76217961
275,2.75,1638.0819917553,0.00022258300800000002,89551140.11621787
276,2.76,1651.5211319480998,0.00022258300800000002,90285834.91934997
279,2.79,1678.3994167819199,0.000228686523,91755224.7687908
296,2.96,1866.5473928257802,0.000234790039,102040952.7421702
278,2.78,1670.9332263031802,0.00023784179700000002,91347060.9082141
285,2.85,1802.3381644947,0.000243945312,98530744.07619902
291,2.91,1817.27054100396,0.000243945312,99347071.55417584
277,2.77,1672.42646261964,0.00024699707,91428693.5830588
282,2.82,1729.1695049202,0.00024699707,94530738.63162985
283,2.83,1735.14245908248,0.00024699707,94857269.81736185
273,2.73,1639.5752325199799,0.000253100586,89632773.03423914
287,2.87,1770.9801662632801,0.000256152344,96816455.9590475
289,2.89,1778.44635674202,0.000256152344,97224619.8196242
286,2.86,1790.3922606183598,0.000259204102,97877681.9479116
292,2.92,1845.64206215424,0.000262255859,100898094.07846136
295,2.95,1847.13530291892,0.000265307617,100979726.99648266
301,3.01,1948.67547919548,0.000268359375,106530754.72216076
294,2.94,1859.0812023470398,0.000268359375,101632788.88159348
290,2.9,1812.79082760636,0.000271411133,99102173.28646514
