,t,f,e,s
540,5.4,3452.3660601263396,0.000994897461,188734946.32070428
541,5.41,3464.3119640026803,0.001025415039,189388008.44899172
542,5.42,3506.1226253457603,0.001031518555,191673725.77640936
543,5.43,3501.64291194816,0.001016259766,191428827.50869864
544,5.44,3500.1496711834798,0.001001000977,191347194.59067735
545,5.45,3509.1091024269003,0.000955224609,191836991.36927536
546,5.46,3519.5617655385604,0.001016259766,192408420.57954147
547,5.47,3561.37242688164,0.001049829102,194694137.9069591
548,5.48,3544.9468096077,0.001022363281,193796177.51096097
549,5.49,3541.9603325265603,0.001034570312,193632911.918095
550,5.5,3547.93328668884,0.001034570312,193959443.10382697
551,5.51,3570.33185367684,0.001043725586,195183934.44238052
552,5.52,3595.71689774598,0.001019311523,196571691.37380004
553,5.53,3603.18308822472,0.001058984375,196979855.23437673
554,5.54,3627.0748959774,0.001055932617,198285979.49095157
555,5.55,3624.0884188962605,0.001068139648,198122713.8980856
556,5.56,3637.5275590890606,0.001043725586,198857408.7012177
557,5.57,3649.4734629654,0.001086450195,199510470.8295051
558,5.58,3653.953176363,0.001068139648,199755369.09721577
559,5.59,3673.36527071808,0.0010833984369999997,200816595.0860799
560,5.6,3691.28412430848,0.001086450195,201796188.15692273
561,5.61,3695.76383770608,0.0010803466800000001,202041086.4246334
562,5.62,3694.27060138962,0.001086450195,201959453.74978873
563,5.63,3674.8585070345403,0.001092553711,200898227.76092464
564,5.64,3739.06773981384,0.0011017089839999998,204408436.67007238
565,5.65,3734.5880264162397,0.001068139648,204163538.40236163
566,5.66,3767.4392609641204,0.001110864258,205959459.1943579
567,5.67,3756.9865934042396,0.0011047607419999998,205388029.74091518
568,5.68,3786.85135087098,0.001110864258,207020684.94004542
569,5.69,3813.7296357048003,0.0011017089839999998,208490074.78948626
570,5.7,3788.34459163566,0.001123071289,207102317.8580667
571,5.71,3813.7296357048003,0.00117800293,208490074.78948626
572,5.72,3827.1687758976004,0.001110864258,209224769.59261838
573,5.73,3828.6620122140603,0.001123071289,209306402.2674631
574,5.74,3858.52677412902,0.0011169677730000001,210939057.70976987
575,5.75,3840.6079160903996,0.001126123047,209959464.39575046
576,5.76,3855.54029704788,0.001123071289,210775792.11690387
577,5.77,3870.47267355714,0.001138330078,211592119.5948807
578,5.78,3874.9523914029596,0.001071191406,211837018.10576797
579,5.79,3892.87124499336,0.0011505371089999999,212816611.17661083
580,5.8,3897.35095839096,0.0011444335939999998,213061509.4443215
581,5.81,3918.2562890625,0.0011474853519999998,214204368.10803035
582,5.82,3945.1345694481,0.0011841064449999998,215673757.71429458
583,5.83,3957.08047332444,0.0011505371089999999,216326819.842582
584,5.84,3942.14809681518,0.0011627441410000001,215510492.36460516
585,5.85,3948.1210465292397,0.00120546875,215837023.30716056
586,5.86,3973.5060905983796,0.0011810546869999998,217224780.23858008
587,5.87,3985.45199447472,0.0011627441410000001,217877842.3668675
588,5.88,3986.9452352393996,0.001190209961,217959475.28488877
589,5.89,4022.7829424202,0.0012115722660000002,219918661.42657444
590,5.9,4048.1679864893404,0.001196313477,221306418.357994
591,5.91,4033.2356099800804,0.001199365234,220490090.88001716
592,5.92,4055.6341769680803,0.001202416992,221714582.21857068
593,5.93,4033.2356099800804,0.001196313477,220490090.88001716
594,5.94,4066.08684452796,0.001196313477,222286011.67201337
595,5.95,4057.1274132845406,0.0011932617189999999,221796214.89341542
596,5.96,4086.9921751995003,0.0012176757810000002,223428870.3357222
597,5.97,4119.84340974738,0.0012329345699999999,225224791.12771842
598,5.98,4091.4718885971006,0.001214624023,223673768.60343292
599,5.99,4118.3501689827,0.001226831055,225143158.20969713
600,6.0,4128.802836542581,0.00117800293,225714587.66313988
601,6.01,4136.2690225731,0.0012359863279999999,226122751.28054
602,6.02,4134.77578625664,0.001199365234,226041118.60569522
603,6.03,4148.21492644944,0.001257348633,226775813.40882736
604,6.04,4178.0796883644,0.001269555664,228408468.85113415
605,6.05,4175.093211283261,0.001245141602,228245203.2582682
606,6.06,4172.106734202121,0.0012329345699999999,228081937.6654022
607,6.07,4224.370063105081,0.0012115722660000002,230939084.44626257
608,6.08,4201.971491668861,0.0012390380860000001,229714592.86453247
609,6.09,4225.86329942154,0.001251245117,231020717.12110725
610,6.1,4218.3971089428005,0.001214624023,230612553.26053056
611,6.11,4269.16719708108,0.001266503906,233388067.1233696
612,6.12,4273.6469149269,0.0012970214839999998,233632965.63425684
613,6.13,4282.6063417221,0.001312280273,234122762.1696783
614,6.14,4282.6063417221,0.001284814453,234122762.1696783
615,6.15,4293.05900483376,0.001287866211,234694191.37994438
616,6.16,4307.99138579124,0.001281762695,235510519.1010978
617,6.17,4322.9237623005,0.001306176758,236326846.57907465
618,6.18,4319.93728966758,0.001290917969,236163581.22938523
619,6.19,4352.78852421546,0.0013275390619999997,237959502.02138144
620,6.2,4346.81557005318,0.001312280273,237632970.83564943
621,6.21,4384.14651799866,0.0013397460939999998,239673789.8953564
622,6.22,4378.1735682846,0.001300073242,239347258.952801
623,6.23,4378.1735682846,0.001333642578,239347258.952801
624,6.24,4412.518039148939,0.001306176758,241224812.41964188
625,6.25,4408.03832575134,0.0013244873050000001,240979914.15193123
626,6.26,4399.07889895614,0.001312280273,240490117.61650977
627,6.27,4440.88956029922,0.0013397460939999998,242775834.9439274
628,6.28,4419.98422962768,0.001312280273,241632976.28021863
629,6.29,4440.88956029922,0.001342797852,242775834.9439274
630,6.3,4403.55861235374,0.0013458496089999998,240735015.88422048
631,6.31,4472.24755408242,0.001351953125,244490122.81790236
632,6.32,4502.1123159973795,0.0013794189449999998,246122778.26020917
633,6.33,4506.59202939498,0.0013641601560000001,246367676.52791992
634,6.34,4508.085265711439,0.001367211914,246449309.20276457
635,6.35,4499.125838916239,0.001382470703,245959512.66734317
636,6.36,4545.416213656919,0.00140078125,248490128.2624715
637,6.37,4540.93650025932,0.0013641601560000001,248245229.99476084
638,6.38,4549.89592705452,0.001382470703,248735026.53018224
639,6.39,4579.76068452126,0.0013794189449999998,250367681.7293125
640,6.4,4575.28097112366,0.0013794189449999998,250122783.46160173
641,6.41,4593.19982471406,0.0013794189449999998,251102376.5324446
642,6.42,4585.73363868354,0.0013916259769999998,250694212.9150445
643,6.43,4626.051059261939,0.0013916259769999998,252898297.32444078
644,6.44,4624.5578229454795,0.0014068847660000001,252816664.6495961
645,6.45,4623.064586629021,0.00140078125,252735031.97475144
646,6.46,4636.503726821821,0.0014099365230000002,253469726.7778836
647,6.47,4606.63896935508,0.0014099365230000002,251837071.5787533
648,6.48,4667.86172060502,0.0014129882810000002,255184014.65185848
649,6.49,4672.341434002621,0.0014129882810000002,255428912.91956922
650,6.5,4681.30086524604,0.001416040039,255918709.69816718
651,6.51,4696.2332417553,0.001464868164,256735037.17614397
652,6.52,4702.20619591758,0.001422143555,257061568.36187598
653,6.53,4691.7535283577,0.0014251953119999998,256490138.9084333
654,6.54,4757.45599745346,0.001458764648,260081980.49242577
